feature,importance
numeric__LANDAREA_MODE,0.027705008231659962
categorical__ORGANIZATION_TYPE_Government,0.02717001928925098
numeric__REGION_POPULATION_RELATIVE,0.02696310567049622
numeric__LIVINGAREA_MODE,0.026655903155524754
numeric__AMT_REQ_CREDIT_BUREAU_MON,0.02647997127579402
categorical__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.025139070731630464
categorical__NAME_TYPE_SUITE_Children,0.02511878504378027
categorical__NAME_TYPE_SUITE_Other_B,0.02431234682513809
categorical__NAME_TYPE_SUITE_Unaccompanied,0.02427884956232536
numeric__FLAG_DOCUMENT_8,0.023799985075606583
categorical__FONDKAPREMONT_MODE_not specified,0.023326835102124365
categorical__ORGANIZATION_TYPE_Services,0.022705167399802616
categorical__ORGANIZATION_TYPE_Industry: type 13,0.022548285562072095
numeric__FLAG_DOCUMENT_17,0.021107547495475637
numeric__YEARS_BEGINEXPLUATATION_MEDI,0.020647393727935223
numeric__TOTALAREA_MODE,0.020117523255870268
numeric__FLAG_DOCUMENT_2,0.01963581337143162
categorical__ORGANIZATION_TYPE_Electricity,0.017559223361443797
numeric__FLAG_MOBIL,0.01738934949119544
numeric__AMT_REQ_CREDIT_BUREAU_DAY,0.0159731549562075
numeric__FLAG_DOCUMENT_12,0.015873755316239947
categorical__WALLSMATERIAL_MODE_Wooden,0.015680331291197395
numeric__FLOORSMIN_MEDI,0.015122611312850073
numeric__FLAG_CONT_MOBILE,0.014927199237414068
numeric__NONLIVINGAREA_MEDI,0.014904722618863388
numeric__AMT_REQ_CREDIT_BUREAU_WEEK,0.014630186146075693
categorical__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.014200779989917863
numeric__APARTMENTS_MODE,0.014114850618909033
categorical__ORGANIZATION_TYPE_Housing,0.013545082790056054
numeric__YEARS_BEGINEXPLUATATION_AVG,0.013181003273032267
categorical__OCCUPATION_TYPE_Laborers,0.013167809790788531
numeric__FLAG_DOCUMENT_11,0.0129379866803166
numeric__FLAG_EMAIL,0.012756593409623177
categorical__ORGANIZATION_TYPE_Medicine,0.012428217765365636
categorical__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.012288968574387224
numeric__FLAG_DOCUMENT_20,0.012063238133211212
categorical__ORGANIZATION_TYPE_Insurance,0.012006554614987517
categorical__ORGANIZATION_TYPE_Transport: type 2,0.011978854612591957
numeric__HOUR_APPR_PROCESS_START,0.011041764895562757
categorical__FLAG_OWN_CAR_N,0.010984456619512865
categorical__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.00936383069331211
numeric__FLOORSMIN_AVG,0.008734985143052265
numeric__AMT_REQ_CREDIT_BUREAU_HOUR,0.008046000752697345
categorical__OCCUPATION_TYPE_Sales staff,0.0075263889989694984
numeric__YEARS_BEGINEXPLUATATION_MODE,0.007433102684262793
numeric__AMT_REQ_CREDIT_BUREAU_YEAR,0.007131221469852921
numeric__FLAG_DOCUMENT_7,0.007036234748741397
categorical__OCCUPATION_TYPE_HR staff,0.006887262133338404
numeric__FLAG_DOCUMENT_9,0.006030846070879469
categorical__NAME_HOUSING_TYPE_Co-op apartment,0.005397146671239535
numeric__FLAG_DOCUMENT_21,0.004568058312238822
categorical__ORGANIZATION_TYPE_Other,0.0035088894474647105
numeric__DAYS_BIRTH,0.0032245022290250448
numeric__FLAG_DOCUMENT_19,0.002963829404696523
numeric__AMT_INCOME_TOTAL,0.0013070098549368824
numeric__BASEMENTAREA_MODE,0.0012100968709957208
categorical__ORGANIZATION_TYPE_Kindergarten,0.0012044671119386063
numeric__YEARS_BUILD_MODE,0.0010436880986754596
categorical__ORGANIZATION_TYPE_Business Entity Type 1,0.00047289206336431194
"categorical__WALLSMATERIAL_MODE_Stone, brick",0.0004220291966636054
